endpoint,method,model_id,model,source_id,source,source_class,target_id,target,target_class,n_source_cal,n_target_cal,n_target_test,src_cal_pos,tgt_test_pos,tgt_test_neg,ece_raw,ece_indomain,ece_transferred,aece_raw,aece_indomain,aece_transferred,brier_raw,brier_indomain,brier_transferred,nll_raw,nll_indomain,nll_transferred,auroc_raw,auroc_transferred,auroc_change,transfer_success,collapse
NORM,isotonic,M5,ECG-FM,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.03745833927035588,0.026410929414899195,0.08170416350227597,0.037061191466045425,0.019037579604875923,0.07971938618288477,0.08099371047615317,0.07936954598242223,0.09258800913871744,0.26719558399729515,0.2869537645427176,0.2926032416498402,0.8866319473516754,0.8791340824220909,-0.007497864929584486,False,True
NORM,temperature,M5,ECG-FM,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.03745833927035588,0.04167136092278001,0.0717333753262498,0.037061191466045425,0.0370767743829831,0.06661570345394896,0.08099371047615317,0.08085682381471528,0.08527964849629822,0.26719558399729515,0.2620897853844436,0.27912571789676616,0.8866319473516754,0.8866319473516754,0.0,False,True
NORM,platt,M6,S4D,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.018033693153258874,0.03361635720768527,0.044273761003924245,0.01977056033712788,0.03500886463140548,0.045701389308184244,0.09751037066514959,0.1004877789016816,0.10021682000380958,0.3151386525408369,0.33120687387566083,0.33216807956659034,0.806303062779443,0.806303062779443,0.0,False,True
NORM,isotonic,M6,S4D,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.018033693153258874,0.02928164843550642,0.05503421381529084,0.01977056033712788,0.025134207307435635,0.04964397739945186,0.09751037066514959,0.09700472388428773,0.10283475600372159,0.3151386525408369,0.3180151438756761,0.5876286259339703,0.806303062779443,0.7741597869953281,-0.03214327578411491,False,True
NORM,temperature,M6,S4D,D1,PTB-XL,NORM,D4,CPSC2018,Normal,297,1031,1031,125,133,898,0.018033693153258874,0.02444738322599614,0.020681068702950237,0.01977056033712788,0.018428982756854943,0.021651478834840105,0.09751037066514959,0.0976965096409334,0.09750631514531737,0.3151386525408369,0.31550272730861656,0.31574322008895217,0.806303062779443,0.806303062779443,0.0,False,True
NORM,platt,M1,MERL,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.0963608456595892,0.05540200171073254,0.1243633787341055,0.10242552091576801,0.05954084539284707,0.12436337873410529,0.08962636629826637,0.07364242250417671,0.09301658297402796,0.405467421937041,0.2734494299410516,0.3324241236425399,0.7749767657992565,0.7749767657992565,0.0,False,True
NORM,isotonic,M1,MERL,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.0963608456595892,0.0815246774090852,0.09806247925856872,0.10242552091576801,0.07502218716123517,0.1042487548915164,0.08962636629826637,0.08127143523640087,0.09030742699957597,0.405467421937041,0.42202210838311943,0.36790822419183833,0.7749767657992565,0.754646840148699,-0.020329925650557468,False,True
NORM,temperature,M1,MERL,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.0963608456595892,0.10135852783464135,0.10838445191105883,0.10242552091576801,0.10796274483479654,0.11134424172489187,0.08962636629826637,0.09318055358553959,0.0942349744322422,0.405467421937041,0.33588559769367693,0.33686245139803894,0.7749767657992565,0.7749767657992565,0.0,False,True
NORM,platt,M2,ST-MEM,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.09590852209651737,0.05044475137497166,0.1457780433038638,0.09795501318618431,0.06835510656334126,0.15270274593819005,0.09056812525173245,0.07430778854896004,0.09729186325438974,0.3824389269610017,0.2726768133422992,0.3500529334339924,0.8482806691449815,0.8482806691449815,0.0,False,True
NORM,isotonic,M2,ST-MEM,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.09590852209651737,0.0328080326270838,0.06703360216880266,0.09795501318618431,0.05065261100114108,0.07822307755072948,0.09056812525173245,0.0717868627613236,0.08421637339130496,0.3824389269610017,0.2890354728406848,0.27638023548917895,0.8482806691449815,0.8343401486988848,-0.013940520446096616,False,False
NORM,temperature,M2,ST-MEM,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.09590852209651737,0.09014950756775285,0.10581988145428235,0.09795501318618431,0.08896570225884785,0.1025428436042137,0.09056812525173245,0.0842736636344766,0.08613482050674977,0.3824389269610017,0.2814808309835767,0.2913978457229079,0.8482806691449815,0.8482806691449815,0.0,False,True
NORM,platt,M3,HuBERT-ECG,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.1481806987986214,0.037761459826350124,0.1771918865444223,0.14826598225225618,0.06758910148126586,0.17719188654442228,0.13520667019003926,0.09207338300700141,0.13362748917067355,0.6734248567944107,0.3272446262585234,0.4384334528822226,0.6560176579925651,0.6560176579925651,0.0,False,True
NORM,isotonic,M3,HuBERT-ECG,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.1481806987986214,0.06684894210461101,0.163801936480334,0.14826598225225618,0.07599002365817906,0.15900439418694082,0.13520667019003926,0.09499270912144707,0.12044311003793291,0.6734248567944107,0.4279178527721407,0.7336792351990108,0.6560176579925651,0.6356877323420074,-0.02032992565055769,False,True
NORM,temperature,M3,HuBERT-ECG,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.1481806987986214,0.1345763803602156,0.14834132763823307,0.14826598225225618,0.14521011883118076,0.15261559125584,0.13520667019003926,0.12391760298158769,0.1261583779220716,0.6734248567944107,0.4016043818077909,0.4080219525234955,0.6560176579925651,0.6560176579925651,0.0,False,True
NORM,platt,M4,ECGFM-KED,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.06539028597890602,0.03481512688390476,0.10903126535862838,0.07914959506899089,0.05412121598018598,0.10753761534223895,0.10271897001312112,0.09596303401733164,0.10924762526188314,0.4326884095916403,0.34310012159920633,0.38054668308335143,0.5727230483271375,0.5727230483271375,0.0,False,True
NORM,isotonic,M4,ECGFM-KED,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.06539028597890602,0.0515609456697686,0.10285484012800232,0.07914959506899089,0.06356554282661395,0.10883490657318504,0.10271897001312112,0.09566521586760603,0.11337041871410555,0.4326884095916403,0.3445987388786353,0.43149706300441015,0.5727230483271375,0.5598861524163569,-0.012836895910780632,False,True
NORM,temperature,M4,ECGFM-KED,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.06539028597890602,0.1163373893610638,0.15361220719817664,0.07914959506899089,0.12013393324301593,0.1505511059394792,0.10271897001312112,0.11349996229574631,0.12201037826092054,0.4326884095916403,0.42041952632609053,0.4344807861434663,0.5727230483271375,0.5727230483271375,0.0,False,True
NORM,platt,M5,ECG-FM,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.0892312478295886,0.04296756531026586,0.09320680244430142,0.096233105418949,0.06414425999663588,0.0954234946045821,0.11012631847932744,0.09405410220095281,0.10920591694654858,0.42310094377337126,0.3359228350466005,0.3714060254059348,0.6412639405204461,0.6412639405204461,0.0,False,True
NORM,isotonic,M5,ECG-FM,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.0892312478295886,0.04988311826731614,0.11537712853294384,0.096233105418949,0.0686239692990175,0.11633957797254085,0.11012631847932744,0.09430987389271134,0.11232623329940938,0.42310094377337126,0.3377045722990027,0.5068313286279511,0.6412639405204461,0.6428903345724907,0.0016263940520445663,False,True
NORM,temperature,M5,ECG-FM,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.0892312478295886,0.1394701363671182,0.13298510883381146,0.096233105418949,0.1385348497588422,0.13379269113025177,0.11012631847932744,0.11953604020620746,0.11839287945260231,0.42310094377337126,0.4043446552524215,0.4018199027010429,0.6412639405204461,0.6412639405204461,0.0,False,True
NORM,platt,M6,S4D,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.044836722617896126,0.04705112543589604,0.04745772214558721,0.05335009626564591,0.05579946581386223,0.055880621584320896,0.09279690397166834,0.0934339105481477,0.09344293584002346,0.33244407594807646,0.3343881301620113,0.3344081971414146,0.6409154275092936,0.6409154275092936,0.0,False,True
NORM,isotonic,M6,S4D,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.044836722617896126,0.05076607224546657,0.013556960668738568,0.05335009626564591,0.06468082902138851,0.04705172891862416,0.09279690397166834,0.09649277995920415,0.09272121485547621,0.33244407594807646,0.3794639450008417,0.3746836560308981,0.6409154275092936,0.5593052973977695,-0.08161013011152418,True,False
NORM,temperature,M6,S4D,D1,PTB-XL,NORM,D5,MIMIC-IV-ECG,SR,297,298,301,125,269,32,0.044836722617896126,0.06452745486207732,0.04516638064122054,0.05335009626564591,0.07195026282004768,0.05788091759542275,0.09279690397166834,0.09525079051362158,0.09332842263127028,0.33244407594807646,0.339425739326256,0.33357907445478663,0.6409154275092936,0.6409154275092936,0.0,False,True
NORM,platt,M1,MERL,D3,CODE-15%,NORM,D1,PTB-XL,NORM,1200,297,299,449,142,157,0.09857082081777342,0.079328465024316,0.07761264912524439,0.08770206936545817,0.08234271919157249,0.09528433380424488,0.15800450694987322,0.15218862327581228,0.15461544949301595,0.5442331724391661,0.4729727574079592,0.48123236582283724,0.858975509105589,0.858975509105589,0.0,True,False
NORM,isotonic,M1,MERL,D3,CODE-15%,NORM,D1,PTB-XL,NORM,1200,297,299,449,142,157,0.09857082081777342,0.07534318144053609,0.06389179970788408,0.08770206936545817,0.06670461126485071,0.0769357587795476,0.15800450694987322,0.15285349330606512,0.1525852205874211,0.5442331724391661,0.47358854622955465,0.49959272630077933,0.858975509105589,0.858885798869651,-8.971023593795646e-05,True,False
NORM,temperature,M1,MERL,D3,CODE-15%,NORM,D1,PTB-XL,NORM,1200,297,299,449,142,157,0.09857082081777342,0.06067397049541605,0.07665086859011051,0.08770206936545817,0.07997895947267482,0.0786493215609625,0.15800450694987322,0.15101636509192043,0.151299247544909,0.5442331724391661,0.46185411902598134,0.4695363978463682,0.858975509105589,0.858975509105589,0.0,False,False
NORM,platt,M2,ST-MEM,D3,CODE-15%,NORM,D1,PTB-XL,NORM,1200,297,299,449,142,157,0.1524911653635153,0.05689641963615899,0.07347343415692154,0.14069038578325366,0.11391664030816236,0.1168900542772862,0.17341594203560776,0.15742688793761467,0.15774200594240903,0.6842038605865577,0.4862647416720939,0.48816855530665304,0.8795191531353728,0.8795191531353728,0.0,False,False
