dataset_id,dataset_name,model_id,model_name,cal_size,effective_n,method,n_reps,n_valid_reps,ece_ew_mean,ece_ew_std,brier_mean,brier_std,auroc_mean,auroc_std
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,150,150,temperature_scaling,5,5,0.043896191139652214,0.00181096370903664,0.026138988831473208,0.00011956774320650196,0.9869273814139705,1.1102230246251565e-16
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,full,201,isotonic_regression,5,5,0.01819841188161613,0.0,0.021184983521118823,0.0,0.9756544797855324,1.1102230246251565e-16
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,full,201,learned_mlp_head,5,5,0.04548963172298803,0.0,0.02873680284705794,3.469446951953614e-18,0.9705511429168039,1.1102230246251565e-16
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,full,201,monotone_platt,5,5,0.0288353906362305,0.0,0.02067172336297893,0.0,0.9869273814139705,1.1102230246251565e-16
D3,CODE-15%,M2_stmem_probe,ST-MEM probe,full,201,temperature_scaling,5,5,0.042637344347629946,0.0,0.02610485136039199,0.0,0.9869273814139705,1.1102230246251565e-16
D3,CODE-15%,M6_s4d_configured,Configured S4D,10,10,isotonic_regression,5,5,0.05777523373917377,0.018376585923652048,0.08686304886713037,0.005393540673086474,0.543188338633424,0.013256731205567845
D3,CODE-15%,M6_s4d_configured,Configured S4D,10,10,learned_mlp_head,5,5,0.08288661021064035,0.02923700646007167,0.08590714060279475,0.006250303724621891,0.5058417309626848,0.002863874586664608
D3,CODE-15%,M6_s4d_configured,Configured S4D,10,10,monotone_platt,5,5,0.05074097515756355,0.012859013950590647,0.08167852679445256,0.002741070803671079,0.5483330655043196,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,10,10,temperature_scaling,5,5,0.05069401866793764,0.012898606249789075,0.08165038024879105,0.0027660313023139395,0.5483330655043196,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,20,20,isotonic_regression,5,5,0.06313167485777418,0.017012310113008366,0.08543146598647555,0.006968037667945519,0.5491677429174391,0.008182165946688278
D3,CODE-15%,M6_s4d_configured,Configured S4D,20,20,learned_mlp_head,5,5,0.07739834242748717,0.00941582663418933,0.08481520671415518,0.0022258412211308433,0.5092939525252296,0.004152364926518051
D3,CODE-15%,M6_s4d_configured,Configured S4D,20,20,monotone_platt,5,5,0.04792962533202648,0.01785389141331019,0.08280255679553336,0.0055635194432837294,0.5483330655043196,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,20,20,temperature_scaling,5,5,0.041011392070499586,0.009534940767831596,0.07932315010509369,0.0012368462821033843,0.5483330655043196,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,50,isotonic_regression,5,5,0.05459341136821495,0.012586385083868211,0.08244176136448841,0.0019409584427570524,0.546757216571127,0.0062914792662110966
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,50,learned_mlp_head,5,5,0.04134370430869361,0.022516148258328723,0.07906674580562892,0.0028144839344574086,0.5203544135875445,0.0038045556844805727
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,50,monotone_platt,5,5,0.04080757973960521,0.00670588341637326,0.07951848312819405,0.001076017670301494,0.5483330655043196,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,50,50,temperature_scaling,5,5,0.03943413355080362,0.0066938212761171205,0.07883336658844972,0.0008919631082978424,0.5483330655043196,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,75,isotonic_regression,5,5,0.05374391668193501,0.007773599779394487,0.08247139925404827,0.0034396487108894207,0.5596475352488127,0.008673065942880368
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,75,learned_mlp_head,5,5,0.03492412151582539,0.006488664724977389,0.07809019608125443,0.000672318612309285,0.5181524362905805,0.006666640563344091
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,75,monotone_platt,5,5,0.03675537270079588,0.011336460571969515,0.07899106177921142,0.001598553061951139,0.5483330655043196,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,75,75,temperature_scaling,5,5,0.03694604797235857,0.008194523554397037,0.07855936198326391,0.0005936391327634896,0.5483330655043196,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,100,isotonic_regression,5,5,0.047542628162062506,0.00140096961348233,0.08104008715731029,0.001652176474271846,0.5586923272569977,0.005424319486582829
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,100,learned_mlp_head,5,5,0.03525315862397353,0.012922028125722847,0.07813445381660578,0.0012919033830187257,0.5165654187626834,0.006780200977949351
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,100,monotone_platt,5,5,0.030263447355912,0.004555950773865105,0.07815302801425263,0.0008090083792586845,0.5483330655043196,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,100,100,temperature_scaling,5,5,0.031291324305145515,0.003045763590367536,0.07803384328580121,0.0001335986003493639,0.5483330655043196,0.0
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,150,isotonic_regression,5,5,0.04238687093670501,0.005841024497581155,0.07953549321479161,0.0011472819447433025,0.556863840786303,0.008598448340779047
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,150,learned_mlp_head,5,5,0.02446689079018931,0.0051374009509141845,0.07728555478471603,0.0003490118008889249,0.5221037252784065,0.0027035365736477273
D3,CODE-15%,M6_s4d_configured,Configured S4D,150,150,monotone_platt,5,5,0.027623388558044894,0.005970555319561676,0.07743183091678307,0.0006268792243078613,0.5483330655043196,0.0
