phase,dataset_id,dataset_name,model_id,model_name,auroc,auprc,ece_ew,ece_em,brier,sce,recal_method
B,D4,CPSC2018,M1,MERL,0.9115856455811981,0.7750764318228877,0.04920762720574769,0.050189365121697596,0.10042971946712895,-0.040503149356012784,temperature_scaling
B,D4,CPSC2018,M1,MERL,0.9115856455811981,0.7750764318228877,0.03253716567294988,0.027920315567154685,0.09564046215438346,0.0005451162899407162,platt_scaling
B,D4,CPSC2018,M1,MERL,0.9088687031053629,0.7474826467644483,0.030269159450902448,0.028430337780446995,0.0964541219400634,0.0011330727406783057,isotonic_regression
B,D4,CPSC2018,M1,MERL,0.8968344362746407,0.7284635936237296,0.032275544146988716,0.030894371951363513,0.10480777155942293,-0.01060027896300677,learned_mlp_head
B,D4,CPSC2018,M2,ST-MEM,0.9158037977113137,0.7900373551384221,0.04513592746409184,0.04511827890119321,0.09731662276477375,-0.035092240557917626,temperature_scaling
B,D4,CPSC2018,M2,ST-MEM,0.9158037977113137,0.7900373551384221,0.03254716707578829,0.026245233630040863,0.09430953529280789,0.0005354083579957715,platt_scaling
B,D4,CPSC2018,M2,ST-MEM,0.9140977783126684,0.765878627579799,0.02963622419565072,0.027929315125469773,0.09539120984701772,0.0005773793440512705,isotonic_regression
B,D4,CPSC2018,M2,ST-MEM,0.8975868479761261,0.7353509108712875,0.03814860629601666,0.0339421008013842,0.10521216462065036,-0.012724068817084143,learned_mlp_head
B,D4,CPSC2018,M3,HuBERT-ECG,0.91972926696138,0.8090108126114899,0.05666845379339918,0.058186158834380323,0.10070339435540292,-0.05377802463289684,temperature_scaling
B,D4,CPSC2018,M3,HuBERT-ECG,0.91972926696138,0.8090108126114899,0.03181913912614758,0.028433424080002784,0.09437807122590441,-0.005984111403056534,platt_scaling
B,D4,CPSC2018,M3,HuBERT-ECG,0.917658760080328,0.7832082271815461,0.03418101258050493,0.031120655868283213,0.09539831830055621,-0.0063450776790986655,isotonic_regression
B,D4,CPSC2018,M3,HuBERT-ECG,0.9004707398152555,0.7536559706779931,0.043184229051136766,0.04175545001708808,0.1075047571130967,-0.023952170606549354,learned_mlp_head
B,D4,CPSC2018,M4,ECGFM-KED,0.9183206037609855,0.7919396682285081,0.04509316614965775,0.04752308121116536,0.09702893417923344,-0.03581845001921196,temperature_scaling
B,D4,CPSC2018,M4,ECGFM-KED,0.9183203283790308,0.791936776717983,0.032219132821418146,0.028420755522111665,0.09359183570722208,0.0010799141678939886,platt_scaling
B,D4,CPSC2018,M4,ECGFM-KED,0.9146653872693595,0.7598845266854324,0.03373313528721435,0.031722908328600634,0.09562848364326583,0.001154025589636528,isotonic_regression
B,D4,CPSC2018,M4,ECGFM-KED,0.900390035507362,0.7433854813992293,0.03530687342658975,0.036475357149506185,0.10412237574146627,-0.013203307458329514,learned_mlp_head
B,D4,CPSC2018,M5,ECG-FM,0.9221756611918016,0.8160547784448229,0.04757785161136522,0.04938475563830755,0.09518018320806712,-0.04039385745483936,temperature_scaling
B,D4,CPSC2018,M5,ECG-FM,0.9221756611918016,0.8160547784448229,0.030172904288860696,0.02619885548950313,0.09063832670587008,0.00013354169952857215,platt_scaling
B,D4,CPSC2018,M5,ECG-FM,0.9199993218530556,0.7902014826656161,0.028233115020040406,0.028234570744791868,0.09158383787058086,0.0007023345251887729,isotonic_regression
B,D4,CPSC2018,M5,ECG-FM,0.902275859970715,0.7651408270525148,0.03535471351796795,0.03608138209757732,0.10327701066733823,-0.009530651296367012,learned_mlp_head
