cell,model,dataset,class,ece,auroc,prevalence,log_npos,feature_spread,objective,dataset_cat,multilabel
M6_D1,S4D,PTB-XL,HYP,0.03455085842775284,0.8516666666666667,0.08026755601167679,1.380211241711606,9.205646514892578,supervised,D1,1
M1_D3,MERL,CODE-15%,1dAVb,0.01191140036164508,0.8880363739698778,0.02005012519657612,1.380211241711606,51.860618591308594,contrastive,D3,0
M1_D3,MERL,CODE-15%,RBBB,0.014254431296323054,0.9158156806481559,0.03425229713320732,1.6127838567197355,51.860618591308594,contrastive,D3,0
M1_D3,MERL,CODE-15%,LBBB,0.010623537137001638,0.9056074766355141,0.016708437353372574,1.3010299956639813,51.860618591308594,contrastive,D3,0
M1_D3,MERL,CODE-15%,SB,0.013439624018058255,0.8979996760609006,0.017543859779834747,1.3222192947339193,51.860618591308594,contrastive,D3,0
M1_D3,MERL,CODE-15%,ST,0.010478154689120682,0.9427749360613811,0.02005012519657612,1.380211241711606,51.860618591308594,contrastive,D3,0
M1_D3,MERL,CODE-15%,AF,0.0104766600502743,0.7901296111665005,0.014202171936631203,1.2304489213782739,51.860618591308594,contrastive,D3,0
M1_D3,MERL,CODE-15%,NORM,0.06800183092833632,0.7113319281340962,0.3834586441516876,2.661812685537261,51.860618591308594,contrastive,D3,0
M2_D3,ST-MEM,CODE-15%,1dAVb,0.013903053979302308,0.976768968456948,0.02005012519657612,1.380211241711606,0.2599007785320282,masked,D3,0
M2_D3,ST-MEM,CODE-15%,RBBB,0.013780055115334098,0.9734471263397755,0.03425229713320732,1.6127838567197355,0.2599007785320282,masked,D3,0
M2_D3,ST-MEM,CODE-15%,LBBB,0.010322772624494568,0.9898470688190314,0.016708437353372574,1.3010299956639813,0.2599007785320282,masked,D3,0
M2_D3,ST-MEM,CODE-15%,SB,0.02111377377936687,0.9762714609653386,0.017543859779834747,1.3222192947339193,0.2599007785320282,masked,D3,0
M2_D3,ST-MEM,CODE-15%,ST,0.018681900680636052,0.9864308042057404,0.02005012519657612,1.380211241711606,0.2599007785320282,masked,D3,0
M2_D3,ST-MEM,CODE-15%,AF,0.008410261141081612,0.972382851445663,0.014202171936631203,1.2304489213782739,0.2599007785320282,masked,D3,0
M2_D3,ST-MEM,CODE-15%,NORM,0.11190924219991062,0.7590142350225245,0.3834586441516876,2.661812685537261,0.2599007785320282,masked,D3,0
M3_D3,HuBERT-ECG,CODE-15%,1dAVb,0.030131650050353075,0.6752273373117363,0.02005012519657612,1.380211241711606,1.7377854585647583,masked,D3,0
M3_D3,HuBERT-ECG,CODE-15%,RBBB,0.017326703779791956,0.9133049202464343,0.03425229713320732,1.6127838567197355,1.7377854585647583,masked,D3,0
M3_D3,HuBERT-ECG,CODE-15%,LBBB,0.011516241411432844,0.9869583687340697,0.016708437353372574,1.3010299956639813,1.7377854585647583,masked,D3,0
M3_D3,HuBERT-ECG,CODE-15%,SB,0.016829817105629,0.9695902170391967,0.017543859779834747,1.3222192947339193,1.7377854585647583,masked,D3,0
M3_D3,HuBERT-ECG,CODE-15%,ST,0.0206088949870343,0.9748863313441319,0.02005012519657612,1.380211241711606,1.7377854585647583,masked,D3,0
M3_D3,HuBERT-ECG,CODE-15%,AF,0.01883287847707831,0.888085742771685,0.014202171936631203,1.2304489213782739,1.7377854585647583,masked,D3,0
M3_D3,HuBERT-ECG,CODE-15%,NORM,0.1121359931907099,0.7359701483725077,0.3834586441516876,2.661812685537261,1.7377854585647583,masked,D3,0
M5_D3,ECG-FM,CODE-15%,1dAVb,0.009802256680162661,0.6126030122193804,0.02005012519657612,1.380211241711606,2.664583206176758,hybrid,D3,0
M5_D3,ECG-FM,CODE-15%,RBBB,0.029879155386882864,0.7711410245590345,0.03425229713320732,1.6127838567197355,2.664583206176758,hybrid,D3,0
M5_D3,ECG-FM,CODE-15%,LBBB,0.014564051584694019,0.7852591333899744,0.016708437353372574,1.3010299956639813,2.664583206176758,hybrid,D3,0
M5_D3,ECG-FM,CODE-15%,SB,0.017357731277485643,0.5625607385811466,0.017543859779834747,1.3222192947339193,2.664583206176758,hybrid,D3,0
M5_D3,ECG-FM,CODE-15%,ST,0.012373531407074818,0.6922776356919579,0.02005012519657612,1.380211241711606,2.664583206176758,hybrid,D3,0
M5_D3,ECG-FM,CODE-15%,AF,0.01236837029827106,0.6207377866400798,0.014202171936631203,1.2304489213782739,2.664583206176758,hybrid,D3,0
M5_D3,ECG-FM,CODE-15%,NORM,0.07320928253728723,0.6340636826847571,0.3834586441516876,2.661812685537261,2.664583206176758,hybrid,D3,0
M6_D3,S4D,CODE-15%,1dAVb,0.002884868383552581,0.5588945723216824,0.02005012519657612,1.380211241711606,15.066460609436035,supervised,D3,0
M6_D3,S4D,CODE-15%,RBBB,0.011969302427852893,0.8730589079247193,0.03425229713320732,1.6127838567197355,15.066460609436035,supervised,D3,0
M6_D3,S4D,CODE-15%,LBBB,0.006693190485985714,0.9335598980458792,0.016708437353372574,1.3010299956639813,15.066460609436035,supervised,D3,0
M6_D3,S4D,CODE-15%,SB,0.002552208516131823,0.5960479429867185,0.017543859779834747,1.3222192947339193,15.066460609436035,supervised,D3,0
M6_D3,S4D,CODE-15%,ST,0.003934867751897111,0.544366297243535,0.02005012519657612,1.380211241711606,15.066460609436035,supervised,D3,0
