endpoint,endpoint_class,model_id,model,dataset_id,dataset,alpha,target_coverage,method,n_test,n_cal,n_test_pos,n_test_neg,coverage,coverage_tp,coverage_tn,avg_set_size,singleton_rate,empty_rate,both_rate,conformal_quantile,quantile_is_inf
NORM,Normal,M3,HuBERT-ECG,D4,CPSC2018,0.2,0.8,raw,1031,1031,133,898,0.7904946653734238,0.3308270676691729,0.8585746102449888,0.8467507274490785,0.8467507274490785,0.15324927255092144,0.0,0.17737713771354502,False
NORM,Normal,M3,HuBERT-ECG,D4,CPSC2018,0.2,0.8,platt,1031,1031,133,898,0.7866149369544132,0.0,0.9031180400890868,0.8380213385063046,0.8380213385063046,0.16197866149369544,0.0,0.153433412126324,False
NORM,Normal,M3,HuBERT-ECG,D4,CPSC2018,0.2,0.8,isotonic,1031,1031,133,898,0.7875848690591658,0.0,0.9042316258351893,0.8389912706110573,0.8389912706110573,0.16100872938894278,0.0,0.3157894736842105,False
NORM,Normal,M3,HuBERT-ECG,D4,CPSC2018,0.2,0.8,temperature,1031,1031,133,898,0.7904946653734238,0.3308270676691729,0.8585746102449888,0.8467507274490785,0.8467507274490785,0.15324927255092144,0.0,0.3192849134764526,False
NORM,SR,M3,HuBERT-ECG,D5,MIMIC-IV-ECG,0.1,0.9,raw,301,298,269,32,0.8970099667774086,0.9628252788104089,0.34375,1.1428571428571428,0.8571428571428571,0.0,0.14285714285714285,0.882375976994528,False
NORM,SR,M3,HuBERT-ECG,D5,MIMIC-IV-ECG,0.1,0.9,platt,301,298,269,32,0.9269102990033222,1.0,0.3125,1.1196013289036544,0.8803986710963455,0.0,0.11960132890365449,0.7312881936059713,False
NORM,SR,M3,HuBERT-ECG,D5,MIMIC-IV-ECG,0.1,0.9,isotonic,301,298,269,32,0.920265780730897,0.9925650557620818,0.3125,1.0996677740863787,0.9003322259136213,0.0,0.09966777408637874,0.65625,False
NORM,SR,M3,HuBERT-ECG,D5,MIMIC-IV-ECG,0.1,0.9,temperature,301,298,269,32,0.8970099667774086,0.9628252788104089,0.34375,1.1428571428571428,0.8571428571428571,0.0,0.14285714285714285,0.6363426853593513,False
NORM,SR,M3,HuBERT-ECG,D5,MIMIC-IV-ECG,0.2,0.8,raw,301,298,269,32,0.813953488372093,0.8736059479553904,0.3125,0.9501661129568106,0.9501661129568106,0.04983388704318937,0.0,0.3577129246166694,False
NORM,SR,M3,HuBERT-ECG,D5,MIMIC-IV-ECG,0.2,0.8,platt,301,298,269,32,0.840531561461794,0.9405204460966543,0.0,0.9169435215946844,0.9169435215946844,0.08305647840531562,0.0,0.33306046567350744,False
NORM,SR,M3,HuBERT-ECG,D5,MIMIC-IV-ECG,0.2,0.8,isotonic,301,298,269,32,0.8970099667774086,0.9888475836431226,0.125,0.9966777408637874,0.9966777408637874,0.0033222591362126247,0.0,0.34375,False
NORM,SR,M3,HuBERT-ECG,D5,MIMIC-IV-ECG,0.2,0.8,temperature,301,298,269,32,0.813953488372093,0.8736059479553904,0.3125,0.9501661129568106,0.9501661129568106,0.04983388704318937,0.0,0.4594598607480924,False
NORM,NORM,M4,ECGFM-KED,D1,PTB-XL,0.1,0.9,raw,299,297,142,157,0.9163879598662207,0.9295774647887324,0.9044585987261147,1.4013377926421404,0.5986622073578596,0.0,0.4013377926421405,0.7813670736463741,False
NORM,NORM,M4,ECGFM-KED,D1,PTB-XL,0.1,0.9,platt,299,297,142,157,0.919732441471572,0.9084507042253521,0.9299363057324841,1.414715719063545,0.5852842809364549,0.0,0.41471571906354515,0.7534606278106005,False
NORM,NORM,M4,ECGFM-KED,D1,PTB-XL,0.1,0.9,isotonic,299,297,142,157,0.903010033444816,0.8591549295774648,0.9426751592356688,1.3779264214046822,0.6220735785953178,0.0,0.3779264214046823,0.6818181818181818,False
