dataset_id,dataset_name,model_id,model_name,cal_size,effective_n,rep,seed,min_class_pos_in_cal,min_class_neg_in_cal,method,ece_ew,brier,auroc,status
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,2,44,13,81,isotonic_regression,0.06088315856381599,0.15132426271958144,0.7245871880283645,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,2,44,13,81,learned_mlp_head,0.07893436022025624,0.14561316798940216,0.7495291257644199,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,3,45,13,81,temperature_scaling,0.06953543303762405,0.1456050147442395,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,3,45,13,81,monotone_platt,0.07475178373108424,0.14723400468522554,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,3,45,13,81,isotonic_regression,0.06088315856381599,0.15132426271958144,0.7245871880283645,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,3,45,13,81,learned_mlp_head,0.07893436022025624,0.14561316798940216,0.7495291257644199,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,4,46,13,81,temperature_scaling,0.06953543303762405,0.1456050147442395,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,4,46,13,81,monotone_platt,0.07475178373108424,0.14723400468522554,0.738817683229448,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,4,46,13,81,isotonic_regression,0.06088315856381599,0.15132426271958144,0.7245871880283645,ok
D1,PTB-XL,M6_s4d_configured,Configured S4D,full,203,4,46,13,81,learned_mlp_head,0.07893436022025624,0.14561316798940216,0.7495291257644199,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,0,42,2,4,temperature_scaling,0.15826854320898007,0.12882341700744188,0.8746336588689531,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,0,42,2,4,monotone_platt,0.13959866556284972,0.1261415694877055,0.87927418174477,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,0,42,2,4,isotonic_regression,0.12374056393808237,0.12911669694702185,0.8262743163331399,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,0,42,2,4,learned_mlp_head,0.11167752035453775,0.135839501800602,0.815969196086843,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,1,43,1,5,temperature_scaling,0.16937133385760061,0.14225658138113448,0.876726562697151,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,1,43,1,5,monotone_platt,0.13928597620363886,0.1286893222464296,0.8781194976489095,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,1,43,1,5,isotonic_regression,0.11952700514429271,0.11932083625431585,0.8519473843591492,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,1,43,1,5,learned_mlp_head,0.12656628405669257,0.13983467870614316,0.8022941176470588,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,2,44,2,5,temperature_scaling,0.17165403318217126,0.12473041117078457,0.87927418174477,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,2,44,2,5,monotone_platt,0.11827266265415019,0.10659311343736717,0.87927418174477,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,2,44,2,5,isotonic_regression,0.11043398648187577,0.11838873166819275,0.8216764663823486,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,2,44,2,5,learned_mlp_head,0.11600027962737362,0.13047251541309443,0.7881113382289853,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,3,45,0,5,temperature_scaling,0.1472495976671048,0.12201086392549239,0.876071567365685,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,3,45,0,5,monotone_platt,0.12725885586500943,0.11474800643167349,0.87927418174477,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,3,45,0,5,isotonic_regression,0.11384769018312155,0.11737961043439873,0.8416790445908093,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,3,45,0,5,learned_mlp_head,0.08861801699690589,0.11555898063141865,0.7593469519940108,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,4,46,0,5,temperature_scaling,0.114210071087297,0.11077430646304447,0.87927418174477,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,4,46,0,5,monotone_platt,0.08757088872634297,0.10368606487757448,0.87927418174477,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,4,46,0,5,isotonic_regression,0.08993010450580782,0.10872899473965258,0.860522194463371,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,10,10,4,46,0,5,learned_mlp_head,0.10710594079775707,0.12544318740597696,0.8188330010682952,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,0,42,1,8,temperature_scaling,0.12035734633775852,0.11126833986950709,0.87927418174477,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,0,42,1,8,monotone_platt,0.09561534570994282,0.10320528870947462,0.87927418174477,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,0,42,1,8,isotonic_regression,0.09374658017906065,0.10632565621746767,0.8710473582826523,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,0,42,1,8,learned_mlp_head,0.10236396089876602,0.13007257893576724,0.7870184974890858,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,1,43,1,8,temperature_scaling,0.11697458916651564,0.1128903240353036,0.87927418174477,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,1,43,1,8,monotone_platt,0.11669224366547293,0.11816330243658801,0.8775312623547917,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,1,43,1,8,isotonic_regression,0.1186400387790189,0.12165369040315292,0.8591222651222651,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,1,43,1,8,learned_mlp_head,0.08776714339311877,0.12540523264951564,0.7718175318175318,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,2,44,2,5,temperature_scaling,0.11758979849057191,0.12744801005122733,0.8708017260958438,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,2,44,2,5,monotone_platt,0.10611608297999928,0.11970489763392386,0.8773787569081687,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,2,44,2,5,isotonic_regression,0.12161366268397618,0.12852588523748346,0.8440942917707623,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,2,44,2,5,learned_mlp_head,0.09077878380100812,0.11433696230320708,0.8428539295598119,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,3,45,2,9,temperature_scaling,0.1215521442777652,0.11599130112251925,0.87927418174477,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,3,45,2,9,monotone_platt,0.1044179980378764,0.10551864985676729,0.8785337522396347,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,3,45,2,9,isotonic_regression,0.08906934904601604,0.10487798768519803,0.8134456220926809,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,3,45,2,9,learned_mlp_head,0.12973848790113712,0.13126502553647257,0.7704823899529782,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,4,46,2,12,temperature_scaling,0.1268561110323069,0.11233981889142812,0.87927418174477,ok
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,20,20,4,46,2,12,monotone_platt,0.10894446588625524,0.1033937646061874,0.87927418174477,ok
