dataset_id,dataset_name,model_id,model_name,cal_size,rep,method,auroc,ece_ew,brier
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,1,monotone_platt,0.879274,0.062466,0.090379
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,1,isotonic,0.825481,0.059901,0.098588
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,1,mlp_head,0.842055,0.130848,0.126471
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,2,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,2,monotone_platt,0.879274,0.062605,0.094039
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,2,isotonic,0.817449,0.049595,0.101841
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,2,mlp_head,0.714886,0.13499,0.140919
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,3,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,3,monotone_platt,0.879274,0.061465,0.094435
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,3,isotonic,0.831077,0.053151,0.10451
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,3,mlp_head,0.810568,0.095028,0.119781
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,4,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,4,monotone_platt,0.879274,0.078348,0.100106
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,4,isotonic,0.829814,0.081018,0.107568
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,75,4,mlp_head,0.714547,0.177309,0.150748
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,0,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,0,monotone_platt,0.879274,0.055024,0.088706
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,0,isotonic,0.823443,0.038046,0.097105
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,0,mlp_head,0.835115,0.083907,0.112104
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,1,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,1,monotone_platt,0.879274,0.061907,0.092022
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,1,isotonic,0.831534,0.037993,0.098975
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,1,mlp_head,0.823598,0.094747,0.108239
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,2,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,2,monotone_platt,0.879274,0.056823,0.09139
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,2,isotonic,0.815757,0.048169,0.099718
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,2,mlp_head,0.800989,0.096322,0.118456
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,3,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,3,monotone_platt,0.879274,0.05832,0.091634
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,3,isotonic,0.799574,0.052687,0.105204
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,3,mlp_head,0.841945,0.128486,0.120722
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,4,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,4,monotone_platt,0.879274,0.066461,0.093152
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,4,isotonic,0.808989,0.043763,0.101015
