cell,model,dataset,method,macro_ece,macro_nll,macro_brier,macro_auroc,macro_auroc_loss_vs_raw,max_class_auroc_loss,selections
M5_D1,ECG-FM,PTB-XL,platt,0.0683,0.378,0.1167,0.8148,0.0,0.0,
M5_D1,ECG-FM,PTB-XL,temperature,0.0846,0.3893,0.1197,0.8148,0.0,0.0,
M5_D1,ECG-FM,PTB-XL,isotonic,0.045,0.4238,0.1161,0.8009,0.0139,0.0217,
M5_D1,ECG-FM,PTB-XL,ranksafe_eps0.005,0.0595,0.3836,0.1155,0.8113,0.0035,0.0177,"{""eps0.005"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""platt"", ""CD"": ""isotonic"", ""HYP"": ""platt""}, ""eps0.01"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""platt"", ""CD"": ""isotonic"", ""HYP"": ""platt""}}"
M5_D1,ECG-FM,PTB-XL,ranksafe_eps0.01,0.0595,0.3836,0.1155,0.8113,0.0035,0.0177,"{""eps0.005"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""platt"", ""CD"": ""isotonic"", ""HYP"": ""platt""}, ""eps0.01"": {""NORM"": ""temperature"", ""MI"": ""platt"", ""STTC"": ""platt"", ""CD"": ""isotonic"", ""HYP"": ""platt""}}"
M6_D1,S4D,PTB-XL,raw,0.0643,0.4239,0.1299,0.7712,0.0,0.0,
M6_D1,S4D,PTB-XL,platt,0.057,0.4117,0.1306,0.7712,0.0,0.0,
M6_D1,S4D,PTB-XL,temperature,0.0624,0.4216,0.1308,0.7712,0.0,0.0,
M6_D1,S4D,PTB-XL,isotonic,0.0579,0.4482,0.1332,0.7613,0.0099,0.0319,
M6_D1,S4D,PTB-XL,ranksafe_eps0.005,0.061,0.4318,0.1328,0.7692,0.002,0.0056,"{""eps0.005"": {""NORM"": ""isotonic"", ""MI"": ""platt"", ""STTC"": ""temperature"", ""CD"": ""isotonic"", ""HYP"": ""temperature""}, ""eps0.01"": {""NORM"": ""isotonic"", ""MI"": ""platt"", ""STTC"": ""temperature"", ""CD"": ""isotonic"", ""HYP"": ""temperature""}}"
M6_D1,S4D,PTB-XL,ranksafe_eps0.01,0.061,0.4318,0.1328,0.7692,0.002,0.0056,"{""eps0.005"": {""NORM"": ""isotonic"", ""MI"": ""platt"", ""STTC"": ""temperature"", ""CD"": ""isotonic"", ""HYP"": ""temperature""}, ""eps0.01"": {""NORM"": ""isotonic"", ""MI"": ""platt"", ""STTC"": ""temperature"", ""CD"": ""isotonic"", ""HYP"": ""temperature""}}"
M1_D3,MERL,CODE-15%,raw,0.0199,0.1502,0.0439,0.8645,0.0,0.0,
M1_D3,MERL,CODE-15%,platt,0.0168,0.1479,0.0431,0.8645,0.0,0.0,
M1_D3,MERL,CODE-15%,temperature,0.0166,0.1449,0.0433,0.8645,0.0,0.0,
M1_D3,MERL,CODE-15%,isotonic,0.0141,0.1636,0.0429,0.8464,0.0181,0.1092,
M1_D3,MERL,CODE-15%,ranksafe_eps0.005,0.0141,0.1467,0.0428,0.8645,0.0,0.0,"{""eps0.005"": {""1dAVb"": ""temperature"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""platt"", ""NORM"": ""temperature""}, ""eps0.01"": {""1dAVb"": ""temperature"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""platt"", ""NORM"": ""isotonic""}}"
M1_D3,MERL,CODE-15%,ranksafe_eps0.01,0.0145,0.1492,0.0427,0.8645,0.0,0.0,"{""eps0.005"": {""1dAVb"": ""temperature"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""platt"", ""NORM"": ""temperature""}, ""eps0.01"": {""1dAVb"": ""temperature"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""platt"", ""NORM"": ""isotonic""}}"
M2_D3,ST-MEM,CODE-15%,raw,0.0283,0.1449,0.0409,0.9477,0.0,0.0,
M2_D3,ST-MEM,CODE-15%,platt,0.0167,0.1318,0.0395,0.9477,0.0,0.0,
M2_D3,ST-MEM,CODE-15%,temperature,0.0138,0.1166,0.0376,0.9471,0.0006,0.0043,
M2_D3,ST-MEM,CODE-15%,isotonic,0.0132,0.1361,0.0383,0.9291,0.0186,0.0701,
M2_D3,ST-MEM,CODE-15%,ranksafe_eps0.005,0.0132,0.1332,0.0387,0.9464,0.0014,0.0061,"{""eps0.005"": {""1dAVb"": ""platt"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""isotonic"", ""NORM"": ""isotonic""}, ""eps0.01"": {""1dAVb"": ""platt"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""isotonic"", ""NORM"": ""isotonic""}}"
M2_D3,ST-MEM,CODE-15%,ranksafe_eps0.01,0.0132,0.1332,0.0387,0.9464,0.0014,0.0061,"{""eps0.005"": {""1dAVb"": ""platt"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""isotonic"", ""NORM"": ""isotonic""}, ""eps0.01"": {""1dAVb"": ""platt"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""isotonic"", ""NORM"": ""isotonic""}}"
M3_D3,HuBERT-ECG,CODE-15%,raw,0.0325,0.1695,0.046,0.8777,0.0,0.0,
M3_D3,HuBERT-ECG,CODE-15%,platt,0.017,0.1507,0.0433,0.8777,0.0,0.0,
M3_D3,HuBERT-ECG,CODE-15%,temperature,0.0208,0.1439,0.044,0.8776,0.0002,0.0011,
M3_D3,HuBERT-ECG,CODE-15%,isotonic,0.0151,0.1529,0.0429,0.8733,0.0044,0.0098,
M3_D3,HuBERT-ECG,CODE-15%,ranksafe_eps0.005,0.0143,0.148,0.043,0.8772,0.0005,0.0022,"{""eps0.005"": {""1dAVb"": ""platt"", ""RBBB"": ""temperature"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""platt"", ""NORM"": ""isotonic""}, ""eps0.01"": {""1dAVb"": ""platt"", ""RBBB"": ""temperature"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""isotonic"", ""NORM"": ""isotonic""}}"
M3_D3,HuBERT-ECG,CODE-15%,ranksafe_eps0.01,0.0142,0.1492,0.0432,0.8764,0.0013,0.0056,"{""eps0.005"": {""1dAVb"": ""platt"", ""RBBB"": ""temperature"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""platt"", ""NORM"": ""isotonic""}, ""eps0.01"": {""1dAVb"": ""platt"", ""RBBB"": ""temperature"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""platt"", ""AF"": ""isotonic"", ""NORM"": ""isotonic""}}"
M5_D3,ECG-FM,CODE-15%,raw,0.0242,0.1998,0.0526,0.6684,0.0,0.0,
M5_D3,ECG-FM,CODE-15%,platt,0.0161,0.1725,0.0494,0.6362,0.0322,0.2252,
M5_D3,ECG-FM,CODE-15%,temperature,0.0266,0.191,0.0524,0.6684,0.0,0.0,
M5_D3,ECG-FM,CODE-15%,isotonic,0.0146,0.1942,0.049,0.6668,0.0015,0.0517,
M5_D3,ECG-FM,CODE-15%,ranksafe_eps0.005,0.0167,0.1755,0.0493,0.6363,0.0321,0.2252,"{""eps0.005"": {""1dAVb"": ""platt"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""isotonic"", ""AF"": ""platt"", ""NORM"": ""platt""}, ""eps0.01"": {""1dAVb"": ""platt"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""isotonic"", ""AF"": ""platt"", ""NORM"": ""platt""}}"
M5_D3,ECG-FM,CODE-15%,ranksafe_eps0.01,0.0167,0.1755,0.0493,0.6363,0.0321,0.2252,"{""eps0.005"": {""1dAVb"": ""platt"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""isotonic"", ""AF"": ""platt"", ""NORM"": ""platt""}, ""eps0.01"": {""1dAVb"": ""platt"", ""RBBB"": ""platt"", ""LBBB"": ""platt"", ""SB"": ""platt"", ""ST"": ""isotonic"", ""AF"": ""platt"", ""NORM"": ""platt""}}"
M6_D3,S4D,CODE-15%,raw,0.0104,0.1676,0.0471,0.6848,0.0,0.0,
M6_D3,S4D,CODE-15%,platt,0.0116,0.1668,0.0477,0.6278,0.0569,0.1921,
M6_D3,S4D,CODE-15%,temperature,0.0147,0.1678,0.0472,0.6847,0.0,0.0002,
M6_D3,S4D,CODE-15%,isotonic,0.0101,0.1766,0.0471,0.6884,-0.0036,0.0037,
M6_D3,S4D,CODE-15%,ranksafe_eps0.005,0.0111,0.1666,0.0471,0.673,0.0118,0.0887,"{""eps0.005"": {""1dAVb"": ""temperature"", ""RBBB"": ""isotonic"", ""LBBB"": ""platt"", ""SB"": ""temperature"", ""ST"": ""platt"", ""AF"": ""platt"", ""NORM"": ""temperature""}, ""eps0.01"": {""1dAVb"": ""isotonic"", ""RBBB"": ""isotonic"", ""LBBB"": ""platt"", ""SB"": ""temperature"", ""ST"": ""platt"", ""AF"": ""platt"", ""NORM"": ""temperature""}}"
M6_D3,S4D,CODE-15%,ranksafe_eps0.01,0.0108,0.1681,0.047,0.6727,0.0121,0.0887,"{""eps0.005"": {""1dAVb"": ""temperature"", ""RBBB"": ""isotonic"", ""LBBB"": ""platt"", ""SB"": ""temperature"", ""ST"": ""platt"", ""AF"": ""platt"", ""NORM"": ""temperature""}, ""eps0.01"": {""1dAVb"": ""isotonic"", ""RBBB"": ""isotonic"", ""LBBB"": ""platt"", ""SB"": ""temperature"", ""ST"": ""platt"", ""AF"": ""platt"", ""NORM"": ""temperature""}}"
M1_D4,MERL,CPSC2018,raw,0.0243,0.181,0.0479,0.9098,0.0,0.0,
M1_D4,MERL,CPSC2018,platt,0.0237,0.178,0.0488,0.9098,0.0,0.0,
M1_D4,MERL,CPSC2018,temperature,0.0241,0.174,0.0479,0.9098,0.0,0.0,
M1_D4,MERL,CPSC2018,isotonic,0.0193,0.2031,0.0482,0.9053,0.0045,0.0138,
M1_D4,MERL,CPSC2018,ranksafe_eps0.005,0.0252,0.193,0.0482,0.9089,0.001,0.0046,"{""eps0.005"": {""Normal"": ""platt"", ""AF"": ""isotonic"", ""IAVB"": ""temperature"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""temperature"", ""STD"": ""isotonic"", ""STE"": ""platt""}, ""eps0.01"": {""Normal"": ""platt"", ""AF"": ""isotonic"", ""IAVB"": ""temperature"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""temperature"", ""STD"": ""isotonic"", ""STE"": ""isotonic""}}"
M1_D4,MERL,CPSC2018,ranksafe_eps0.01,0.0263,0.1949,0.0483,0.9085,0.0013,0.0046,"{""eps0.005"": {""Normal"": ""platt"", ""AF"": ""isotonic"", ""IAVB"": ""temperature"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""temperature"", ""STD"": ""isotonic"", ""STE"": ""platt""}, ""eps0.01"": {""Normal"": ""platt"", ""AF"": ""isotonic"", ""IAVB"": ""temperature"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""temperature"", ""STD"": ""isotonic"", ""STE"": ""isotonic""}}"
M2_D4,ST-MEM,CPSC2018,raw,0.0339,0.1886,0.0418,0.9501,0.0,0.0,
M2_D4,ST-MEM,CPSC2018,platt,0.0193,0.1562,0.0409,0.9501,0.0,0.0,
M2_D4,ST-MEM,CPSC2018,temperature,0.0239,0.1428,0.0402,0.9499,0.0002,0.0018,
M2_D4,ST-MEM,CPSC2018,isotonic,0.0179,0.1731,0.0396,0.9411,0.0089,0.0532,
M2_D4,ST-MEM,CPSC2018,ranksafe_eps0.005,0.0192,0.1561,0.0399,0.9492,0.0009,0.0037,"{""eps0.005"": {""Normal"": ""temperature"", ""AF"": ""temperature"", ""IAVB"": ""platt"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""isotonic"", ""PVC"": ""isotonic"", ""STD"": ""platt"", ""STE"": ""platt""}, ""eps0.01"": {""Normal"": ""isotonic"", ""AF"": ""temperature"", ""IAVB"": ""platt"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""isotonic"", ""PVC"": ""isotonic"", ""STD"": ""platt"", ""STE"": ""platt""}}"
